period,period_type,category,indicator,value,unit,source_file
2013-07,monthly,material_wholesale_price,Steel plates,8783.0,tonne,CLBM_Masterdata.xml
2013-07,monthly,material_wholesale_price,"Unglazed tiles, 18mm x 18mm",104.0,square metre,CLBM_Masterdata.xml
2013-07,monthly,material_wholesale_price,"White tiles, 108mm x 108mm",233.0,100 pieces,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"32 mm diameter pipes, 4m long",56.0,no.,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Acrylic paint,49.0,litre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Aggregates,60.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Bitumen,8717.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Clear sheet glass, 5mm thick",151.0,square metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Colour tiles, 200mm x 200mm",398.0,100 pieces,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Concrete blocks, 100mm thick",72.0,square metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Emulsion paint,52.0,litre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,For industrial use (light),2106.0,200-litre drum,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,For road use,1054.0,100 litre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Glass tiles, 25mm x 25mm",50.0,square metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Glazed tiles, 45mm x 45mm",129.0,square metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"High tensile steel bars, 10mm to 40mm",5220.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Mild steel round bars, 6mm to 20mm",5980.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Non-slip tile, 200mm x 200mm",158.0,square metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Plywood, formwork, 19mm thick",74.0,square metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Portland cement (ordinary),697.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Sand,123.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Sawn hardwood, 25mm thick plank",3814.0,cubic metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Sawn hardwood, 50 x 75mm column",5502.0,cubic metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Steel angles,11823.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Steel flats,10131.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Steel plate, 4mm thick",5800.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,Steel plates,8783.0,tonne,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"Unglazed tiles, 18mm x 18mm",109.0,square metre,CLBM_Masterdata.xml
2013-08,monthly,material_wholesale_price,"White tiles, 108mm x 108mm",243.0,100 pieces,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"32 mm diameter pipes, 4m long",56.0,no.,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Acrylic paint,49.0,litre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Aggregates,56.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Bitumen,8690.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Clear sheet glass, 5mm thick",151.0,square metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Colour tiles, 200mm x 200mm",398.0,100 pieces,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Concrete blocks, 100mm thick",72.0,square metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Emulsion paint,52.0,litre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,For industrial use (light),2111.0,200-litre drum,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,For road use,1062.0,100 litre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Glass tiles, 25mm x 25mm",50.0,square metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Glazed tiles, 45mm x 45mm",129.0,square metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"High tensile steel bars, 10mm to 40mm",5195.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Mild steel round bars, 6mm to 20mm",5960.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Non-slip tile, 200mm x 200mm",158.0,square metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Plywood, formwork, 19mm thick",75.0,square metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Portland cement (ordinary),697.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Sand,119.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Sawn hardwood, 25mm thick plank",3814.0,cubic metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Sawn hardwood, 50 x 75mm column",5502.0,cubic metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Steel angles,11823.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Steel flats,10131.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Steel plate, 4mm thick",5800.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,Steel plates,8783.0,tonne,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"Unglazed tiles, 18mm x 18mm",109.0,square metre,CLBM_Masterdata.xml
2013-09,monthly,material_wholesale_price,"White tiles, 108mm x 108mm",243.0,100 pieces,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"32 mm diameter pipes, 4m long",56.0,no.,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Acrylic paint,49.0,litre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Aggregates,58.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Bitumen,8690.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Clear sheet glass, 5mm thick",151.0,square metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Colour tiles, 200mm x 200mm",398.0,100 pieces,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Concrete blocks, 100mm thick",72.0,square metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Emulsion paint,52.0,litre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,For industrial use (light),2103.0,200-litre drum,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,For road use,1059.0,100 litre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Glass tiles, 25mm x 25mm",50.0,square metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Glazed tiles, 45mm x 45mm",129.0,square metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"High tensile steel bars, 10mm to 40mm",5117.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Mild steel round bars, 6mm to 20mm",5900.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Non-slip tile, 200mm x 200mm",158.0,square metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Plywood, formwork, 19mm thick",75.0,square metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Portland cement (ordinary),697.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Sand,119.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Sawn hardwood, 25mm thick plank",3814.0,cubic metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Sawn hardwood, 50 x 75mm column",5502.0,cubic metre,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Steel angles,11823.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Steel flats,10131.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,"Steel plate, 4mm thick",5800.0,tonne,CLBM_Masterdata.xml
2013-10,monthly,material_wholesale_price,Steel plates,8783.0,tonne,CLBM_Masterdata.xml
